Size of Subscriptions,Time Taken (seconds),Size of pk (bytes)
1,0.0020036697387695312,80
1,0.0017876625061035156,80
1,0.0017952919006347656,80
1,0.0020761489868164062,80
1,0.0021021366119384766,80
1,0.0021598339080810547,80
1,0.0018818378448486328,80
1,0.0016720294952392578,80
1,0.0017271041870117188,80
1,0.0018107891082763672,80
1,0.0017445087432861328,80
1,0.0016362667083740234,80
1,0.0017175674438476562,80
1,0.001819610595703125,80
1,0.0017826557159423828,80
1,0.0018973350524902344,80
1,0.0027213096618652344,80
1,0.002085447311401367,80
1,0.0025625228881835938,80
1,0.0020904541015625,80
1,0.0019354820251464844,80
1,0.0018606185913085938,80
1,0.0018498897552490234,80
1,0.00188446044921875,80
1,0.0018057823181152344,80
1,0.0021944046020507812,80
1,0.008287191390991211,80
1,0.0019099712371826172,80
1,0.001924753189086914,80
1,0.0018494129180908203,80
1,0.0017261505126953125,80
1,0.0018274784088134766,80
1,0.0018260478973388672,80
1,0.0017893314361572266,80
1,0.0017962455749511719,80
1,0.0017330646514892578,80
1,0.0018677711486816406,80
1,0.0018074512481689453,80
1,0.0018892288208007812,80
1,0.00193023681640625,80
1,0.00189208984375,80
1,0.0017516613006591797,80
1,0.009729862213134766,80
1,0.0018858909606933594,80
1,0.002322673797607422,80
1,0.0019533634185791016,80
1,0.0018377304077148438,80
1,0.0019617080688476562,80
1,0.0019068717956542969,80
1,0.0018954277038574219,80
1,0.009939193725585938,80
1,0.001802206039428711,80
1,0.0018115043640136719,80
1,0.00451350212097168,80
1,0.0018515586853027344,80
1,0.0020017623901367188,80
1,0.0018465518951416016,80
1,0.0018107891082763672,80
1,0.0017657279968261719,80
1,0.0017926692962646484,80
1,0.0018665790557861328,80
1,0.001758575439453125,80
1,0.0018270015716552734,80
1,0.0018506050109863281,80
1,0.001873016357421875,80
1,0.0017962455749511719,80
1,0.002021312713623047,80
1,0.001814126968383789,80
1,0.0017457008361816406,80
1,0.0017347335815429688,80
1,0.0017452239990234375,80
1,0.0018405914306640625,80
1,0.0018033981323242188,80
1,0.0018267631530761719,80
1,0.0017774105072021484,80
1,0.001798868179321289,80
1,0.0017099380493164062,80
1,0.0017976760864257812,80
1,0.0017986297607421875,80
1,0.0018093585968017578,80
1,0.0018274784088134766,80
1,0.0017957687377929688,80
1,0.0016777515411376953,80
1,0.0018134117126464844,80
1,0.0018870830535888672,80
1,0.0018880367279052734,80
1,0.0018303394317626953,80
1,0.0017919540405273438,80
1,0.0018897056579589844,80
1,0.0017328262329101562,80
1,0.0018048286437988281,80
1,0.0018072128295898438,80
1,0.0018749237060546875,80
1,0.0017681121826171875,80
1,0.001790761947631836,80
1,0.0017926692962646484,80
1,0.0018436908721923828,80
1,0.0018007755279541016,80
1,0.0018041133880615234,80
1,0.0017940998077392578,80
10,0.015479564666748047,224
10,0.023839950561523438,224
10,0.016115188598632812,224
10,0.009987115859985352,224
10,0.010112524032592773,224
10,0.0101776123046875,224
10,0.009750843048095703,224
10,0.010075807571411133,224
10,0.011019706726074219,224
10,0.010056734085083008,224
10,0.010176658630371094,224
10,0.010127782821655273,224
10,0.010177373886108398,224
10,0.010647296905517578,224
10,0.00989222526550293,224
10,0.010037899017333984,224
10,0.010782241821289062,224
10,0.010167837142944336,224
10,0.00983572006225586,224
10,0.010055065155029297,224
10,0.010393619537353516,224
10,0.009932518005371094,224
10,0.009769678115844727,224
10,0.009752035140991211,224
10,0.009637832641601562,224
10,0.009679794311523438,224
10,0.009874105453491211,224
10,0.009786605834960938,224
10,0.010390043258666992,224
10,0.009757280349731445,224
10,0.009721994400024414,224
10,0.009733915328979492,224
10,0.009880781173706055,224
10,0.010549068450927734,224
10,0.009809494018554688,224
10,0.014233589172363281,224
10,0.011883020401000977,224
10,0.013986349105834961,224
10,0.014740467071533203,224
10,0.015387773513793945,224
10,0.03569650650024414,224
